# node_id  community_id
0	4
1	4
2	4
3	3
4	4
5	4
6	4
7	4
8	3
9	3
10	0
11	3
12	3
13	3
14	3
15	0
16	0
17	3
18	3
19	0
20	3
21	3
22	3
23	3
24	3
25	3
26	3
27	3
28	4
29	4
30	2
31	2
32	3
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	3
41	3
42	3
43	3
44	3
45	3
46	3
47	3
48	3
49	3
50	3
51	1
52	1
53	3
54	3
55	0
56	3
57	3
58	1
59	2
60	2
61	2
62	2
63	2
64	1
65	1
66	2
67	1
68	1
69	1
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	2
84	2
85	1
86	2
87	2
88	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	2
100	2
101	2
102	2
103	1
104	1
