# node_id  community_id
0	0
1	1
2	2
3	3
4	0
5	4
6	2
7	5
8	5
9	0
10	4
11	5
12	6
13	2
14	6
15	2
16	0
17	7
18	6
19	8
20	7
21	5
22	5
23	0
24	5
25	1
26	6
27	9
28	5
29	8
30	8
31	6
32	2
33	1
34	6
35	8
36	6
37	1
38	6
39	2
40	3
41	0
42	6
43	6
44	10
45	1
46	11
47	2
48	10
49	11
50	5
51	5
52	3
53	11
54	6
55	8
56	9
57	10
58	10
59	10
60	2
61	6
62	9
63	10
64	2
65	7
66	10
67	11
68	5
69	5
70	9
71	6
72	3
73	11
74	3
75	10
76	9
77	5
78	5
79	8
80	8
81	4
82	8
83	11
84	4
85	6
86	10
87	7
88	11
89	1
90	5
91	10
92	10
93	0
94	8
95	9
96	7
97	10
98	4
99	6
100	2
101	8
102	3
103	1
104	0
105	1
106	2
107	4
108	5
109	1
110	11
111	5
112	10
113	7
114	11
